"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_Symbol"
1.1334765179352,-1.0557119356636,1.24704294943979,-0.846572234050047,0.397233595732814,1,"SLC2A5"
0.52452153469722,-0.86803976250488,1.11162977326911,-0.780871278710109,0.434878206046908,1,"GPR157"
4.83664690088128,-0.894849450599462,0.879350466586987,-1.01762549131591,0.308855968305104,1,"MIR34AHG"
0.388003754599358,-0.579960066608571,1.58921056683522,-0.36493594915085,0.715159218650924,1,"LINC01759"
4.43584548303162,-0.225688889871962,0.493883330362889,-0.456968024626652,0.647694028564305,1,"H6PD"
7.4044159684238,-0.498674052163897,0.537194724757266,-0.9282929060579,0.353255652870582,1,"SPSB1"
0.0266699423808594,-0.798694668933702,3.75068322708771,-0.212946447507342,0.831368733259582,1,"BX323043.1"
0.305476541519274,-1.28975069810647,1.46002203640335,-0.883377555919406,0.377032313096498,1,"AL928921.2"
0.0015002936511856,-1.07913181625859,4.24175115878431,-0.254407148336317,0.799181029032701,1,"AL928921.1"
14.2072417199327,-0.14558507839018,0.580433940684478,-0.250821098122723,0.801952428944503,1,"SLC25A33"
0.553995744933488,0.0142553611195317,1.07260337231095,0.013290431008825,0.989396082464041,1,"TMEM201"
0.502542585063234,-0.128038280228938,1.14956388034576,-0.111379874070528,0.911315118916029,1,"PIK3CD"
0,NA,NA,NA,NA,NA,"PIK3CD-AS1"
0.0107695110634328,-0.983190348988398,4.24155511432445,-0.231799498648031,0.816693746472749,1,"PIK3CD-AS2"
13.055323080798,0.240960359313426,0.494013687407314,0.487760492179955,0.625719498477631,1,"CLSTN1"
5.6143937303464,-1.3129976575791,0.584041268555771,-2.24812479574587,0.0245682333742565,1,"CTNNBIP1"
0,NA,NA,NA,NA,NA,"AL357140.1"
4.89652304132633,-0.288629402618942,0.495712289206576,-0.582251860410632,0.560397045996698,1,"LZIC"
3.28558607604165,-0.265444034867558,0.63907619258872,-0.415355849499443,0.677881422057602,1,"NMNAT1"
0.574974706626693,-0.777400304472236,1.15444846968174,-0.673395413384323,0.50069576581134,1,"RBP7"
32.6267749454231,-0.0720389637044479,0.365067782310743,-0.197330378617549,0.843569007997331,1,"UBE4B"
118.227544564489,-0.0256536489970714,0.206615356525073,-0.124161385816249,0.901187495258418,1,"KIF1B"
0.252076572878692,-0.647246991116164,1.52646711745564,-0.424016334000706,0.671553901053791,1,"AL139424.3"
0.867724157425483,-0.408487632810223,0.966668929877687,-0.422572423903093,0.672607249714032,1,"AL139424.2"
7.25674898335902,0.756133694823072,0.733243675246491,1.03121747974012,0.302438845406741,1,"PGD"
0.00538144307406251,-1.12275997082779,4.24166175417009,-0.264698138583062,0.791242011559354,1,"AL139424.1"
0.0549289739302276,-0.606873142929872,3.7400819889221,-0.162261989102751,0.871099546256118,1,"CENPS-CORT"
0,NA,NA,NA,NA,NA,"CENPS"
0,NA,NA,NA,NA,NA,"CORT"
4.90217069039193,0.01882726828848,0.617293385549062,0.0304997084518146,0.975668525895957,1,"DFFA"
0.0106458558734378,-0.85443413568274,4.24111402445562,-0.201464551708773,0.840335344773873,1,"AL354956.1"
8.99761084746859,0.122517801112637,0.439309994549321,0.278886896798981,0.780331624589856,1,"PEX14"
0.243962135376605,-0.354889286694493,1.39270263721846,-0.254820574909864,0.798861683255414,1,"CASZ1"
0.00755266231161534,-1.03801048311025,4.24140980904355,-0.244732419135024,0.806663624360578,1,"AL139423.1"
0.0178585370808682,-0.960259623237884,4.24104928402155,-0.226420293406099,0.820874545869386,1,"C1orf127"
0.0929011250530119,-0.527074356605327,2.56669540888438,-0.20535134585152,0.837297630536072,1,"TARDBP"
0.251403378300309,-0.567586533650498,1.3731696468972,-0.413340430975162,0.679357211696126,1,"AL109811.4"
0.110762207768542,-0.45018555430682,1.98745809711572,-0.226513230623653,0.820802270078181,1,"MASP2"
0,NA,NA,NA,NA,NA,"AL109811.3"
6.51734989720658,-1.30178065802595,0.991533364588742,-1.31289647380236,0.189217835262019,1,"SRM"
2.6446802365341,-0.653900882839562,0.61878036257356,-1.05675765164869,0.29062220604746,1,"EXOSC10"
0.458267313990335,-0.94326314826365,0.985735728502295,-0.956912812419636,0.338611263724805,1,"AL109811.1"
0.0103574789595863,-1.06816577011974,4.24134954199962,-0.251845729653337,0.801160309092603,1,"AL109811.2"
7.42425351505854,-0.0639541612460778,0.371842511039837,-0.171992602640385,0.863443344577695,1,"MTOR"
0.0110826248823481,0,4.24178820584225,0,1,1,"MTOR-AS1"
