"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PDRG1","PDRG1",0.129755009914268,-0.458970878254243,0.021,0.03,1
"SHLD1","SHLD1",0.12976169385286,-0.116207501997744,0.059,0.073,1
"NPIPA8","NPIPA8",0.129779593896811,-0.407441786824805,0.024,0.033,1
"ENSG00000276449","ENSG00000276449",0.129869197882406,0.976409065673564,0.019,0.012,1
"EXT2","EXT2",0.129873391508856,0.180248540731455,0.252,0.231,1
"AP5M1","AP5M1",0.129976060006104,0.161537995717557,0.143,0.122,1
"E2F6","E2F6",0.130048928659214,-0.349612768268134,0.053,0.066,1
"DGKI","DGKI",0.130163292576987,-0.15891914211575,0.118,0.138,1
"SPIRE1","SPIRE1",0.13040798506454,0.108955685352539,0.646,0.647,1
"ACSS2","ACSS2",0.130853312369949,0.301620264732377,0.108,0.092,1
"ADCK2","ADCK2",0.131000714533631,-0.314070141191447,0.008,0.014,1
"GOLGA6L4","GOLGA6L4",0.131066562111909,-0.417231070502998,0.022,0.03,1
"PAFAH1B3","PAFAH1B3",0.131079573143915,0.873423383920703,0.019,0.012,1
"ENSG00000261273","ENSG00000261273",0.131144373459431,-0.93891430030819,0.013,0.02,1
"CYB5A","CYB5A",0.131207123942598,-0.245411947187818,0.034,0.045,1
"AGAP6","AGAP6",0.131298993911081,0.24788147506293,0.153,0.133,1
"TMEM176B","TMEM176B",0.131367098594127,-0.375452420861316,0.07,0.084,1
"ZBTB5","ZBTB5",0.131449521810264,0.371605091585415,0.116,0.1,1
"STAT5A","STAT5A",0.131670203932622,-0.468593536859389,0.056,0.069,1
"PAXIP1","PAXIP1",0.131906185574103,-0.202588966601241,0.08,0.096,1
"ATMIN","ATMIN",0.13197816993813,0.679172370323984,0.065,0.052,1
"MILIP","MILIP",0.131979064090139,0.68247355077118,0.023,0.015,1
"FAM88B","FAM88B",0.132021838200299,-0.202347354771122,0.01,0.017,1
"LINC02899","LINC02899",0.132139899788109,-0.206944105839054,0.01,0.017,1
"MCRS1","MCRS1",0.132223069900409,0.298283175918292,0.057,0.045,1
"ENSG00000268750","ENSG00000268750",0.13224307404721,0.712650282698809,0.019,0.012,1
"PGBD4","PGBD4",0.13236398782302,0.312303401383361,0.039,0.028,1
"RTRAF","RTRAF",0.13254600139489,-0.376054558681128,0.043,0.055,1
"PRMT3","PRMT3",0.132643012183497,0.210107023492552,0.28,0.257,1
"MIEF2","MIEF2",0.132683558988095,0.810852023378462,0.029,0.021,1
"KIAA1586","KIAA1586",0.132790504461007,0.492528458573854,0.059,0.047,1
"MRPL35","MRPL35",0.132858647786525,0.504625455833517,0.051,0.039,1
"GNAO1","GNAO1",0.132921641389946,0.165893541510715,0.5,0.49,1
"SEL1L","SEL1L",0.132926644606722,0.196236707391535,0.181,0.161,1
"RFT1","RFT1",0.133063868869965,-0.230443340962299,0.021,0.03,1
"ARHGEF19","ARHGEF19",0.13306825230666,1.39450577943918,0.011,0.006,1
"DIAPH2","DIAPH2",0.133224840871695,-0.144000728602092,0.121,0.141,1
"MB21D2","MB21D2",0.133249504857725,-0.343044342341784,0.047,0.06,1
"ZNF839","ZNF839",0.133308164061555,-0.136407023403368,0.067,0.083,1
"MNAT1","MNAT1",0.133395059420897,-0.134628020877345,0.377,0.402,1
"TSEN54","TSEN54",0.133577746506934,0.239436812842653,0.096,0.08,1
"ZFAT","ZFAT",0.133617074576966,0.342102347173959,0.105,0.089,1
"DARS2","DARS2",0.133619934779745,0.384033661944411,0.034,0.024,1
"SS18L2","SS18L2",0.133717763942684,0.405596422131885,0.041,0.03,1
"IBA57","IBA57",0.133775056389756,0.520289865399406,0.034,0.025,1
"ZNF514","ZNF514",0.133929461591028,-0.25502761196533,0.024,0.033,1
"PDPR","PDPR",0.134001555019334,0.209578279939866,0.275,0.257,1
"ENSG00000234848","ENSG00000234848",0.134093732201378,1.0210139315076,0.011,0.006,1
"RAB10","RAB10",0.134171274714559,0.132045935966371,0.565,0.564,1
"WDR36","WDR36",0.134193535082699,-0.273969128948869,0.074,0.089,1
"ZNF597","ZNF597",0.134256238677498,0.532600626569169,0.019,0.012,1
"C1QA","C1QA",0.134314271006261,1.00961930309294,0.011,0.006,1
"KCNQ1OT1","KCNQ1OT1",0.134326830268671,0.206630112775196,0.147,0.128,1
"FAR2","FAR2",0.13456209357529,-0.650869680005969,0.013,0.02,1
"NSMCE1","NSMCE1",0.134673443263525,-0.143725036327168,0.07,0.086,1
"ENSG00000258569","ENSG00000258569",0.134711907489786,-0.313934722106986,0.044,0.057,1
"ENSG00000229642","ENSG00000229642",0.13481963737664,0.441299594753038,0.019,0.012,1
"MEIOC","MEIOC",0.13482995218556,0.825736079480635,0.011,0.006,1
"UBA1","UBA1",0.134866671612362,0.325128028995934,0.227,0.212,1
"INTS13","INTS13",0.134917704459981,0.5166084421412,0.048,0.037,1
"VPS16","VPS16",0.134934042775909,0.750155410429811,0.024,0.016,1
"SLC38A1","SLC38A1",0.134957978435168,0.286535280526058,0.145,0.127,1
"PHETA1","PHETA1",0.134977570377108,0.832664740490951,0.011,0.006,1
"EFCAB5","EFCAB5",0.135033482948335,0.531267998192721,0.023,0.015,1
"SMAD3","SMAD3",0.135067474495543,0.187614162490029,0.342,0.325,1
"WDR44","WDR44",0.135094523916741,-0.10807539474721,0.125,0.147,1
"KIAA2013","KIAA2013",0.135114048976356,-0.201483591925895,0.105,0.123,1
"ENSG00000276259","ENSG00000276259",0.135246589752958,0.534532601324774,0.029,0.02,1
"MACO1","MACO1",0.135342384383298,-0.147639503948889,0.133,0.153,1
"SETD6","SETD6",0.135415250789439,0.249972921466685,0.048,0.037,1
"NME6","NME6",0.135451356435699,0.237822984077036,0.039,0.028,1
"C3orf33","C3orf33",0.135569292403936,0.653132786269609,0.011,0.006,1
"FAM47E-STBD1","FAM47E-STBD1",0.135657347365599,-0.790146207087874,0.019,0.027,1
"ITFG2","ITFG2",0.135667213887723,0.29884508325152,0.207,0.189,1
"SEC14L6","SEC14L6",0.135667772557559,-0.198207792121649,0.024,0.033,1
"LEAP2","LEAP2",0.13575560136184,1.15407075806623,0.019,0.012,1
"TMEM260","TMEM260",0.135792344593467,-0.13706077590334,0.224,0.25,1
"CEP20","CEP20",0.136002849506637,0.267679296959907,0.109,0.093,1
"ENSG00000233367","ENSG00000233367",0.136060783622949,1.12809712900981,0.015,0.009,1
"ENSG00000271554","ENSG00000271554",0.136101064799607,0.379629852022592,0.029,0.02,1
"NOMO3","NOMO3",0.136116577068903,0.957592071888948,0.019,0.012,1
"GPRASP2","GPRASP2",0.1361332393395,-0.265190850925686,0.013,0.02,1
"TMEM130","TMEM130",0.136228526043788,-1.19858543535594,0.006,0.012,1
"ENSG00000267219","ENSG00000267219",0.136299482597456,-0.478455241555253,0.025,0.035,1
"ENSG00000280029","ENSG00000280029",0.136306720734067,-0.513599199698506,0.019,0.027,1
"ZKSCAN5","ZKSCAN5",0.136773886084526,-0.311418626171653,0.062,0.077,1
"SEMA5B","SEMA5B",0.136787496267553,-0.45940959502723,0.013,0.02,1
"MIDN","MIDN",0.136868015686725,0.180899821829383,0.214,0.192,1
"SNCG","SNCG",0.136937998805639,0.41553679472102,0.043,0.033,1
"PTMA","PTMA",0.136975342306452,0.200189765275451,0.259,0.239,1
"ENSG00000206028","ENSG00000206028",0.137048725461067,-0.2428987657385,0.018,0.026,1
"PRDM4","PRDM4",0.137061472942467,0.437629980513971,0.059,0.046,1
"PPP3CA-DT","PPP3CA-DT",0.137105942588289,-1.10480061782436,0.006,0.012,1
"LINC03050","LINC03050",0.137146936185704,-0.135309004195263,0.021,0.03,1
"MRPL11","MRPL11",0.13717966740275,0.521004584598696,0.036,0.026,1
"MARCHF3","MARCHF3",0.137277856637779,0.143660232858045,0.607,0.607,1
"AP3M2","AP3M2",0.137282870443734,0.32128163060775,0.083,0.068,1
"SHISAL2A","SHISAL2A",0.137325976371741,-1.08108172868661,0.006,0.012,1
"AP1G2-AS1","AP1G2-AS1",0.137472816786876,-0.876393832884186,0.006,0.012,1
"NRXN2","NRXN2",0.137512877322419,0.34473638749734,0.123,0.106,1
"DARS1-AS1","DARS1-AS1",0.137534557793595,0.655683538035553,0.015,0.009,1
"CTDSPL2","CTDSPL2",0.137576940525704,-0.142063096995729,0.227,0.252,1
"TCTN2","TCTN2",0.137764392885552,0.531197789749678,0.09,0.075,1
"ENSG00000261220","ENSG00000261220",0.137766860805373,-0.804693877652414,0.006,0.012,1
"ENO1","ENO1",0.137867462765841,0.208424677376393,0.448,0.434,1
"YBX3","YBX3",0.137895414971181,-0.182566604375742,0.178,0.201,1
"EXOSC6","EXOSC6",0.137987284004154,0.423671663318125,0.095,0.08,1
"FARSB","FARSB",0.138050169756353,-0.22808562684598,0.094,0.111,1
"SCN3A","SCN3A",0.138208835620918,-0.788842137497341,0.006,0.012,1
"MYH9","MYH9",0.138250034722818,0.340848397612426,0.174,0.157,1
"PGF","PGF",0.138308354174382,0.669330665232398,0.015,0.009,1
"LZTS2","LZTS2",0.138457428350707,0.407299952016811,0.129,0.112,1
"KIF26B","KIF26B",0.138514544082731,0.269802597654556,0.095,0.08,1
"ANAPC2","ANAPC2",0.138568338737624,-0.301609633921817,0.049,0.062,1
"SEL1L2","SEL1L2",0.138725852987527,-0.641316291920747,0.006,0.012,1
"AIFM3","AIFM3",0.138793185303218,-0.125865384132551,0.209,0.237,1
"FAM24B","FAM24B",0.138799834064005,-0.574504451302006,0.006,0.012,1
"NPIPB2","NPIPB2",0.13884551728004,0.49374038902036,0.024,0.016,1
"ENSG00000241295","ENSG00000241295",0.138875321142913,-0.157223714446749,0.013,0.02,1
"ENSG00000249984","ENSG00000249984",0.138997685365371,-0.446632037038729,0.016,0.024,1
"ENSG00000177337","ENSG00000177337",0.139019529209332,-0.159610992522206,0.05,0.064,1
"ESCO1","ESCO1",0.139029005316417,-0.126253828300919,0.116,0.136,1
"ENSG00000266385","ENSG00000266385",0.139096062272991,-0.512350370159486,0.006,0.012,1
"CLDN20","CLDN20",0.139170193433753,-0.579049085483236,0.006,0.012,1
"NAXD","NAXD",0.139618174700326,0.287413514156632,0.091,0.076,1
"DLG4","DLG4",0.139730058526328,0.268822880675466,0.111,0.095,1
"ENSG00000285441","ENSG00000285441",0.139842741855371,0.53195506558554,0.078,0.064,1
"FLVCR2","FLVCR2",0.139848493576707,0.69221509459553,0.024,0.017,1
"MADD","MADD",0.139895442014356,0.257373951857052,0.153,0.135,1
"TTC1","TTC1",0.140046943866028,0.265354684555672,0.182,0.164,1
"SPTLC2","SPTLC2",0.140142092861656,-0.16053269304423,0.131,0.151,1
"ADAMTS3","ADAMTS3",0.140270782981185,0.524824096236451,0.072,0.059,1
"FAM217A","FAM217A",0.14036387353184,-0.839949741552736,0.009,0.015,1
"C1orf174","C1orf174",0.140405348408051,1.06432908876964,0.025,0.017,1
"EPCAM-DT","EPCAM-DT",0.140429295484204,0.461561736502629,0.09,0.076,1
"HIPK1-AS1","HIPK1-AS1",0.140437620852194,-0.589800824516791,0.011,0.017,1
"LHPP","LHPP",0.140618773983874,0.241614628133745,0.201,0.183,1
"GCAT","GCAT",0.140622371502414,0.443859292828079,0.09,0.076,1
"EHMT2","EHMT2",0.14078722435972,-0.155587198350131,0.096,0.114,1
"ZBTB18","ZBTB18",0.140870949764079,-0.127628100494202,0.067,0.082,1
"HDHD5-AS1","HDHD5-AS1",0.140902673465248,-0.118855919050453,0.064,0.079,1
"SH3BP5","SH3BP5",0.140921042093497,-0.61396812039602,0.011,0.017,1
"DYNC2I2","DYNC2I2",0.140938448272493,0.548645681730801,0.057,0.045,1
"LAMP1","LAMP1",0.141001619691205,0.289617078862216,0.214,0.194,1
"RAB6B","RAB6B",0.141041758938817,0.400436039025761,0.184,0.167,1
"MGAT4A","MGAT4A",0.141092817413287,-0.179130120260303,0.128,0.148,1
"ENSG00000232912","ENSG00000232912",0.141105448582032,0.594791012436838,0.019,0.012,1
"FHIP2A","FHIP2A",0.14114546128475,-0.104362971593656,0.162,0.185,1
"AGO4","AGO4",0.14117409016678,-0.116181426043861,0.214,0.239,1
"DOC2B","DOC2B",0.141257103134474,0.452088953169721,0.024,0.017,1
"GNPDA1","GNPDA1",0.141426379271747,0.339903067664841,0.077,0.063,1
"APTR","APTR",0.141447566845756,0.42670856899532,0.128,0.111,1
"STAT6","STAT6",0.1415245321115,0.456604910120847,0.071,0.058,1
"PTGDS","PTGDS",0.141576441085412,-0.205668633089597,0.022,0.03,1
"SLC6A8","SLC6A8",0.141589890658133,-0.224501756360872,0.163,0.182,1
"PLAAT3","PLAAT3",0.141657933033812,-0.111137868622894,0.191,0.217,1
"ZMPSTE24","ZMPSTE24",0.141664641888749,0.299217351581756,0.13,0.113,1
"GMPR2","GMPR2",0.14201201669184,-0.439056078094745,0.026,0.035,1
"CCDC30","CCDC30",0.142084063565186,0.230421608210328,0.306,0.29,1
"CUTC","CUTC",0.142123066855231,-0.137505664351774,0.095,0.112,1
"ENSG00000268533","ENSG00000268533",0.142453784736478,0.399857331854743,0.064,0.051,1
"ENSG00000231113","ENSG00000231113",0.142478772135691,0.347091925607018,0.043,0.033,1
"ENSG00000271971","ENSG00000271971",0.142500998590292,-0.401722480802482,0.011,0.017,1
"ZNF540","ZNF540",0.142516037459404,-0.208170660502329,0.087,0.103,1
"GTF2F1","GTF2F1",0.142541205664215,-0.151095457686822,0.04,0.052,1
"ZNF579","ZNF579",0.142828385126554,0.47502492303718,0.036,0.026,1
"USP42","USP42",0.142860581929637,-0.150294241720202,0.138,0.16,1
"SPRY2","SPRY2",0.142900375577876,0.323104009066108,0.19,0.172,1
