"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MARCHF1","MARCHF1",5.15723847729593e-53,-0.250064742970508,0.916,0.943,1.37889085167461e-48
"SH3BP2","SH3BP2",5.36541330299197e-53,1.17839184570487,0.099,0.04,1.43455055482096e-48
"DIRC3","DIRC3",6.53825508096729e-53,1.85937290971753,0.211,0.131,1.74813326099823e-48
"BEST1","BEST1",7.14453645773415e-53,-0.713281389562531,0.191,0.289,1.91023471270438e-48
"CD4","CD4",7.47351563339228e-53,0.973596298649487,0.107,0.045,1.99819387490009e-48
"SOX8","SOX8",8.01863984355311e-53,-0.418848132347365,0.284,0.405,2.14394373497079e-48
"PARP14","PARP14",1.06010851789127e-52,0.711780352801103,0.204,0.118,2.8344121442859e-48
"GNA13","GNA13",1.15075383893854e-52,0.821406161763292,0.301,0.21,3.07677053916998e-48
"FGD4","FGD4",1.37290704544098e-52,0.88837189919166,0.529,0.466,3.67074156739555e-48
"NFKBIZ","NFKBIZ",1.50874196714092e-52,0.737421104092646,0.325,0.231,4.03392339754467e-48
"PLEKHO1","PLEKHO1",1.51302440862196e-52,0.931512801188657,0.142,0.071,4.04537336133255e-48
"MYO1D","MYO1D",1.52910273595899e-52,-0.343804242149829,0.537,0.646,4.08836198513355e-48
"WSB1","WSB1",1.54239513028456e-52,-0.253788101131095,0.774,0.854,4.12390185984183e-48
"HSPA4","HSPA4",1.68587241221699e-52,0.740823653623152,0.283,0.189,4.50751706854456e-48
"CACYBP","CACYBP",1.81467212797131e-52,1.03150624364223,0.183,0.105,4.85188886855688e-48
"LINC01102","LINC01102",2.12242323729118e-52,-0.894830870249896,0.105,0.188,5.67472300954543e-48
"DRAM1","DRAM1",2.30780464090955e-52,1.82485051277128,0.074,0.025,6.17037726839987e-48
"ST3GAL1","ST3GAL1",2.36663106719767e-52,1.0181800279326,0.129,0.062,6.32766148436642e-48
"SARAF","SARAF",2.64687158632067e-52,0.558344265277038,0.444,0.346,7.07694056034557e-48
"LYL1","LYL1",3.0928633492146e-52,1.647526827684,0.062,0.017,8.26938873679507e-48
"HDAC9","HDAC9",3.33902120967868e-52,0.678651412274567,0.585,0.501,8.92754100831789e-48
"MALT1","MALT1",3.54099361063067e-52,0.936692109345395,0.203,0.121,9.46755461674323e-48
"FLOT1","FLOT1",3.54294162254974e-52,0.765786707436504,0.274,0.183,9.47276301621124e-48
"FAM177B","FAM177B",4.84782959209733e-52,1.20165417131544,0.078,0.027,1.29616419803906e-47
"SPON1","SPON1",5.52752741671728e-52,1.88387225756421,0.113,0.052,1.4778950054077e-47
"ENSG00000223749","ENSG00000223749",6.55553863596189e-52,2.15039848904848,0.052,0.012,1.75275436509713e-47
"EPS8","EPS8",7.32530056315978e-52,0.548511718587064,0.489,0.392,1.95856561157203e-47
"PTGER4P2-CDK2AP2P2","PTGER4P2-CDK2AP2P2",7.51884357412819e-52,1.17146768458924,0.098,0.04,2.01031320641466e-47
"HEPH","HEPH",7.54674771664909e-52,-1.25839664470093,0.049,0.113,2.01777393700047e-47
"CUX1","CUX1",8.24452350241601e-52,0.435340245044359,0.674,0.603,2.20433824884097e-47
"ENSG00000227028","ENSG00000227028",8.45534245483234e-52,1.22587567991442,0.11,0.048,2.26070491214852e-47
"TSPAN5","TSPAN5",8.66592449208291e-52,-0.354821912604527,0.49,0.616,2.31700823144821e-47
"MON2","MON2",8.98242686281745e-52,-0.336875421801313,0.63,0.713,2.4016314703115e-47
"PLCB2","PLCB2",8.98420725411363e-52,0.990105809014822,0.108,0.046,2.40210749353236e-47
"TMC8","TMC8",9.17135536823874e-52,1.0056667533002,0.143,0.072,2.45214528480599e-47
"ENSG00000284959","ENSG00000284959",9.7610321584031e-52,0.834409574696917,0.297,0.204,2.60980716819224e-47
"GRIA2","GRIA2",1.3069516280466e-51,-0.327436536141977,0.447,0.577,3.4943965679082e-47
"NAV1","NAV1",1.55215436013721e-51,-0.295357977912042,0.565,0.688,4.14999511269885e-47
